NAmostra,Hidrogênio,Oxigênio,Nitrogênio,MonóxidoDeCarbono,DióxidoDeCarbono,Metano,Etileno,Etano,Acetileno,NBR7274,IEC60599,Laborelec,Rogers,Duval,Dornenburg,DiagReal
178,"2,7E+017","3,77E+019","1,94E+020","1,37E+018","3,88E+018","3,1E+017","1,9E+017",7E+016,0,FTM,FTM,NFD,DER,FTBMA,NFD,SF
179,"3,99E+018","4,48E+019","2,4E+020","1,66E+018","4,61E+018","4,23E+018","2,4E+018","9,4E+017",7E+016,FTM,FTM,FTBMA,DER,FTBMA,FTBMA,FTA
180,"5,73E+018","4,16E+019","2,63E+020","2,14E+018","5,75E+018","5,87E+018","5,88E+018","1,31E+018",9E+016,FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
181,1E+020,"1,38E+020","4,28E+020","2,22E+018","9,95E+018","2,92E+019","5,68E+019","2,57E+018","2,09E+020",DER,DER,DERA,DAE,DER,DERA,DER
182,"1,02E+018","5,56E+019","4,05E+020","7,4E+017","2,84E+018","3,8E+017","7,7E+017",5E+016,"1,71E+018",DAE,DERA,NFD,DAE,DAE,DERA,DAE
183,"5,6E+017","2,12E+020","5,48E+020","1,07E+018","5,75E+018","1,8E+017",2E+016,0,"1,6E+017",NFD,NFD,NFD,NFD,DER,DERA,DER
184,"6,4E+017","2,17E+020",6E+020,"1,55E+018","6,44E+018",4E+016,2E+016,0,"2,7E+017",NFD,DPPA,NFD,DPP,DER,NFD,DER
185,"1,11E+018","2,01E+020","6,1E+020","1,85E+018","7,8E+018",4E+016,1E+016,1E+016,"3,6E+017",NFD,NFD,NFD,NFD,DER,NFD,DER
186,"6,75E+018","6,55E+019","7,1E+020","1,07E+019","5,91E+019","1,99E+018","3,06E+018","8,4E+017",4E+018,DAE,DERA,DERA,DAE,DAE,DERA,DAE
187,0,"1,48E+020","4,14E+020","9,6E+017","5,29E+018",0,0,0,0,DPP,DPPA,NFD,DPPA,NFD,NFD,SF
188,"8,9E+017","1,4E+020","5,69E+020","2,84E+018","1,63E+019",5E+016,7E+017,4E+016,"1,8E+017",NFD,NFD,NFD,NFD,DAE,NFD,FTA
189,"8,6E+017","1,4E+020","5,54E+020","2,81E+018","1,6E+019",3E+016,"6,8E+017",3E+016,"1,4E+017",NFD,NFD,NFD,NFD,DAE,NFD,SF
